PRODUTO,UF,PREÇO SANTA CRUZ
300658048134,GO,"145,07"
300658048134,MG,"159,7"
300658048134,MS,"201,51"
300658048134,PI,"229,33"
300658048134,PR,"162,04"
300658048134,RJ,"147,56"
300658048134,RS,"157,23"
300658048134,SC,"189,14"
300658048134,SP,"179,15"
300658052582,DF,"62,7"
300658052582,GO,"56,57"
300658052582,MG,"57,02"
300658052582,MS,"54,73"
300658052582,PR,"47,16"
300658052582,RJ,"60,67"
300658052582,RS,"66,57"
300658052582,SC,"36,91"
300658052582,SP,"49,26"
310119021675,CE,"30,23"
310119021675,MS,"31,39"
310119021675,PI,"29,97"
310119021675,PR,"30,63"
310119021675,RS,"31,15"
310119021675,SC,"25,64"
310119033227,CE,"30,65"
310119033227,MS,"29,21"
310119033227,PI,"30,38"
310119033227,PR,"30,66"
310119033227,RS,"31,59"
310119033227,SC,"31,61"
310119033227,TO,"32,65"
310119052136,MS,"19,87"
310119052136,PI,"18,69"
310119052136,PR,"19,09"
310119052136,RS,"18,48"
310119052136,SC,"15,97"
310119052136,SP,"15,66"
310119052440,BA,"54,53"
310119052440,CE,"63,03"
310119052440,MS,"64,42"
310119052440,PI,"64,81"
310119052440,PR,"63,21"
310119052440,RS,"64,31"
310119052440,SC,"45,68"
310119052440,SP,"52,02"
310119052440,TO,"68,28"
382900121031,DF,"97,09"
382900121031,GO,"82,38"
382900121031,MG,"97,02"
382900121031,MS,"68,66"
382900121031,PR,"97,77"
382900121031,RJ,"100,44"
382900121031,RS,"99,07"
382900121031,SC,"83,43"
382900121031,SP,"90,29"
382900147031,DF,"97,09"
382900147031,GO,"82,38"
382900147031,MG,"97,02"
382900147031,MS,"85,46"
382900147031,PR,"97,77"
382900147031,RJ,"100,44"
382900147031,RS,"99,07"
382900147031,SC,"74,98"
382900147031,SP,"90,29"
382903204892,DF,"73,27"
382903204892,GO,"62,6"
382903204892,MG,"72,88"
382903204892,MS,"69,92"
382903204892,PR,"73,63"
382903204892,RJ,"75,44"
382903204892,RS,"74,73"
382903204892,SC,"62,83"
382903204892,SP,68
382903249169,DF,"239,55"
382903249169,GO,"203,24"
382903249169,MG,"240,02"
382903249169,MS,"234,38"
382903249169,PR,"246,23"
