PRODUTO,UF,CONCORRENTE,PREÇO CONCORRENTE,HORA COLETA
7896015525804,MG,A,"75,95",11/03/99 04:37:20
4005808555345,MG,A,"58,58",11/03/99 04:37:43
4005808850617,MG,A,"16,53",11/03/99 04:37:57
3282770206036,MG,A,"68,01",11/03/99 04:38:19
7896015526252,MG,A,"27,37",11/03/99 04:38:33
7896009400148,MG,A,"55,83",11/03/99 04:38:47
7898040329174,MG,A,"352,18",11/03/99 04:39:01
7891000241547,MG,A,"71,65",11/03/99 04:39:15
4015630064076,MG,A,82,11/03/99 04:39:29
7891317010898,MG,A,"295,24",11/03/99 04:40:00
7891010253936,MG,A,"33,96",11/03/99 04:40:23
7894916515207,MG,A,"197,73",11/03/99 04:40:37
7891317192402,MG,A,"91,88",11/03/99 04:40:59
7898040321871,MG,A,"164,57",11/03/99 04:41:22
7891142205582,MG,A,"85,92",11/03/99 04:41:36
7896014183111,MG,A,"27,04",11/03/99 04:41:58
7899640806072,MG,A,"88,7",11/03/99 04:42:12
7891142204370,MG,A,"95,38",11/03/99 04:42:35
7891058017002,MG,A,"67,91",11/03/99 04:42:49
7896009498121,MG,A,"54,42",11/03/99 04:43:02
7898636190973,MG,A,"30,86",11/03/99 04:43:16
7896094208704,MG,A,"102,03",11/03/99 04:43:30
7898430191718,MG,A,"53,94",11/03/99 04:43:53
7891317019297,MG,A,"53,7",11/03/99 04:44:07
7891000342770,MG,A,"91,33",11/03/99 04:44:21
7899824400782,MG,A,"70,3",11/03/99 04:44:35
7891010249939,MG,A,"22,52",11/03/99 04:44:57
7899420508127,MG,A,"134,78",11/03/99 04:45:11
7898636190515,MG,A,"38,58",11/03/99 04:45:25
4005808850839,MG,A,"16,88",11/03/99 04:45:39
7898040329181,MG,A,"158,18",11/03/99 04:45:53
7891106914277,MG,A,"33,28",11/03/99 04:46:15
7896000705952,MG,A,"11,34",11/03/99 04:46:29
7891142200235,MG,A,"85,92",11/03/99 04:46:43
7891158105210,MG,A,"182,95",11/03/99 04:47:06
7891010877613,MG,A,"51,35",11/03/99 04:47:20
7899706184823,MG,A,"66,07",11/03/99 04:47:34
7896226109565,MG,A,"83,82",11/03/99 04:47:56
7898414853212,MG,A,"68,91",11/03/99 04:48:10
7891142204127,MG,A,"143,55",11/03/99 04:48:38
7896112402602,MG,A,"274,05",11/03/99 04:49:01
3337875686471,MG,A,"82,61",11/03/99 04:49:32
4005900308719,MG,A,"73,7",11/03/99 04:49:46
7899824400171,MG,A,"98,79",11/03/99 04:50:00
7896637032193,MG,A,"137,12",11/03/99 04:50:14
7896014183043,MG,A,"27,04",11/03/99 04:50:36
7500435171106,MG,A,"15,46",11/03/99 04:50:50
7896658029806,MG,A,"48,72",11/03/99 04:51:04
4005900663993,MG,A,"16,53",11/03/99 04:51:18
7898414851966,MG,A,"65,46",11/03/99 04:51:32
7891010504779,MG,A,"4,96",11/03/99 04:51:46
7896658025129,MG,A,"61,02",11/03/99 04:52:00
7896676434101,MG,A,"119,36",11/03/99 04:52:14
7899706185844,MG,A,"74,34",11/03/99 04:52:28
7894916514415,MG,A,"99,84",11/03/99 04:52:59
7898636192489,MG,A,"40,44",11/03/99 04:53:14
7899706161947,MG,A,"75,18",11/03/99 04:53:54
7899640806126,MG,A,"125,38",11/03/99 04:54:08
7896009498312,MG,A,"48,19",11/03/99 04:54:22
7896685303450,MG,A,"60,94",11/03/99 04:54:44
7891000320457,MG,A,"143,44",11/03/99 04:54:59
7891010253899,MG,A,"21,39",11/03/99 04:55:13
7899706161886,MG,A,"75,18",11/03/99 04:55:27
7891010244361,MG,A,"69,83",11/03/99 04:55:49
7896004755519,MG,A,"66,36",11/03/99 04:56:03
7896112402411,MG,A,"186,86",11/03/99 04:56:17
7894916515214,MG,A,"227,49",11/03/99 04:56:31
7896009498657,MG,A,"62,96",11/03/99 04:56:45
7896226109558,MG,A,"114,29",11/03/99 04:56:58
7899706149822,MG,A,"14,54",11/03/99 04:57:12
7891137003698,MG,A,"150,69",11/03/99 04:57:26
7899706186698,MG,A,"79,5",11/03/99 04:57:40
4005808934980,MG,A,"16,53",11/03/99 04:57:54
7891317003081,MG,A,"58,82",11/03/99 04:58:22
7899706155021,MG,A,"74,31",11/03/99 04:58:36
7891106911733,MG,A,"54,02",11/03/99 04:58:50
7896094920255,MG,A,"163,63",11/03/99 04:59:13
7896094916203,MG,A,"71,87",11/03/99 04:59:26
3662042000249,MG,A,"127,58",11/03/99 04:59:40
7896014183166,MG,A,"27,04",11/03/99 05:00:03
7891025120940,MG,A,"144,71",11/03/99 05:00:25
7891058002343,MG,A,"80,33",11/03/99 05:00:39
7894916513104,MG,A,"70,74",11/03/99 05:00:53
7899824400737,MG,A,"72,6",11/03/99 05:01:07
7898948648476,MG,A,"134,53",11/03/99 05:01:21
7891317011345,MG,A,"136,44",11/03/99 05:01:43
